"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc10g083675.1",4245.44198915661,-7.89949925611692,0.247081871441772,-27.9239396069689,1.36655805367197e-171,1.1387669629323e-168
"Solyc03g117800.3",4758.88488697804,-6.04568980714924,0.181262985440848,-27.836294292945,1.5783931501431e-170,1.27144829554527e-167
"Solyc11g007540.2",18746.477050656,-7.28053107521372,0.226468945670239,-27.7324162773239,2.83980400885387e-169,2.21376463477299e-166
"Solyc01g104775.1",5214.03908216855,-5.84385082937315,0.174789065496286,-27.7125506427979,4.92918914012787e-169,3.72246202376032e-166
"Solyc04g081300.3",18503.0790145186,-5.00526435865755,0.145508464063318,-27.5259888449833,8.58007050996998e-167,6.09841129246866e-164
"Solyc03g034370.1",6285.00968198011,-7.15402243998329,0.227460999117044,-27.0552862419136,3.30986659674219e-161,2.28532103362491e-158
"Solyc09g014350.3",42521.0692454888,-6.15035602340283,0.191212389466169,-26.9352631269434,8.489360862897e-160,5.69871929479914e-157
"Solyc02g091920.3",20889.0695899563,-12.263032151689,0.420849377860063,-26.7626204153118,8.80509116723467e-158,5.750914409389e-155
"Solyc11g008630.2",20302.5820129229,-7.11188491842304,0.22916496972212,-26.6702407694953,1.04254253130012e-156,6.63002179247333e-154
"Solyc03g034375.1",8283.49406965981,-7.05958996480321,0.228456732658207,-26.5240157044045,5.12293000148629e-155,3.09501816039794e-152
"Solyc06g009770.1",7989.2335262174,-10.7582857505158,0.369701079244564,-26.3950696883428,1.5609092226108e-153,8.98117435086012e-151
"Solyc01g105450.3",5397.77096380598,-8.21203756729166,0.278469591812025,-25.8988334071319,6.86429409104613e-148,3.7700575228232e-145
"Solyc01g104720.3",18927.4985716127,-9.49672755336334,0.328538954061004,-25.862161696009,1.77578576103731e-147,9.53636415582837e-145
"Solyc11g006250.2",114841.165720695,-6.67597874862569,0.220974065851281,-25.6861760078475,1.66823348436033e-145,8.76402834414168e-143
